AboneNo,Yil,Ay,Gun,Saat,Tuketim,Tip,Bolge
99972650,2017,9,17,3,4.175,SANAYI,GEMLIK-MERKEZ
10000116090,2017,9,17,3,405,SANTIYE VE GECICI ABONELER,MERKEZ-MERKEZ
99906030,2017,9,17,3,1.346,ARITMA TESISLERI,GURSU-MERKEZ
99945430,2017,9,17,3,2.305,SANAYI,KARINCALI MERKEZ
10000020820,2017,9,17,4,1.354,SANAYI,SARIKOY MERKEZ
10000020820,2017,9,17,3,1.275,SANAYI,SARIKOY MERKEZ
10000100830,2017,9,17,3,752,SANAYI,BALIKLICESME BE MERKEZ
99914840,2017,9,17,3,2.229,SANAYI,TATKAVAKLI MERKEZ
10077140117,2017,9,17,0,1.159,SANAYI,ALTINOVA-MERKEZ
99906640,2017,9,16,13,3.372,SANAYI,ORHANGAZI-MERKEZ
10000344020,2017,9,17,3,1.490,SANAYI,GONEN-MERKEZ
99982940,2017,9,17,3,0,SANAYI,MUDANYA-MERKEZ
99107580,2017,9,17,5,2.291,SANAYI,CELTIKCI MERKEZ
99948550,2017,9,17,5,2.960,HAYIR KURUMLARI,KULTUR BALIKCIL..,GORUKLE MERKEZ
99972420,2017,9,17,6,1.559,SANAYI,GURSU-MERKEZ
99906640,2017,9,17,4,3.036,SANAYI,ORHANGAZI-MERKEZ
99116200,2017,9,17,6,3.257,SANAYI,YENICE MERKEZ
10000020820,2017,9,17,5,1.201,SANAYI,SARIKOY MERKEZ
99971940,2017,9,17,5,1.254,SANAYI,OSMANGAZI-MERKEZ
10000344020,2017,9,17,5,1.463,SANAYI,GONEN-MERKEZ
99972640,2017,9,17,5,6.127,SANAYI,GEMLIK-MERKEZ
99941250,2017,9,17,5,5.175,SANAYI,ORHANGAZI-MERKEZ
99904740,2017,9,17,5,2.639,SANAYI,YENICE MERKEZ
10000087500,2017,9,17,9,1.242,SANAYI,SINDIRGI-MERKEZ
99914840,2017,9,17,8,2.429,SANAYI,TATKAVAKLI MERKEZ
99952850,2017,9,17,9,518,SANAYI,BARAKFAKIH MERKEZ
99930780,2017,9,17,8,0,SANAYI,YENICE MERKEZ
99982940,2017,9,17,8,0,SANAYI,MUDANYA-MERKEZ
99972640,2017,9,17,9,1.325,SANAYI,GEMLIK-MERKEZ
